distrito,zona,lat,lon
CIDADE TIRADENTES,ZMIS_a,-23.60499269405967,-46.39951525573747
CIDADE TIRADENTES,ZMIS_a,-23.586968175630137,-46.39024549987121
CIDADE TIRADENTES,ZM_a,-23.597803635523572,-46.40636268024437
CIDADE TIRADENTES,ZM_a,-23.57588919073486,-46.410667651056
JARDIM SAO LUIS,ZEIS_1,-23.6784082148487,-46.74947536679425
JARDIM SAO LUIS,ZEIS_1,-23.6812161785619,-46.74068857373387
JARDIM SAO LUIS,ZEIS_1,-23.683957757444414,-46.73778344634516
JARDIM SAO LUIS,ZEIS_1,-23.68660016357831,-46.743701463413394
JARDIM SAO LUIS,ZEIS_1,-23.70403589259756,-46.74696749012495
JARDIM SAO LUIS,ZEIS_1,-23.65841281898105,-46.749901936882914
JARDIM SAO LUIS,ZEIS_1,-23.655168757095662,-46.727729939799886
JARDIM SAO LUIS,ZEIS_1,-23.6625298611758,-46.742077465294734
JARDIM SAO LUIS,ZEIS_1,-23.673231274868083,-46.7539841902536
JARDIM SAO LUIS,ZEIS_1,-23.665172161862323,-46.74799456186421
JARDIM SAO LUIS,ZEIS_1,-23.65995310213152,-46.730279594859056
JARDIM SAO LUIS,ZEIS_1,-23.673264549779947,-46.751043422483846
JARDIM SAO LUIS,ZEIS_1,-23.66527144645237,-46.739172755049275
JARDIM SAO LUIS,ZEIS_1,-23.66456359519418,-46.759165495173434
JARDIM SAO LUIS,ZEIS_1,-23.659179904129374,-46.75615256094641
JARDIM SAO LUIS,ZEIS_2,-23.661264882060816,-46.73771621604886
JARDIM SAO LUIS,ZEIS_3,-23.65765801516212,-46.725322639694866
JARDIM SAO LUIS,ZER_a,-23.68934822958416,-46.75035993371303
JARDIM SAO LUIS,ZER_a,-23.696898262170354,-46.751256820919885
JARDIM SAO LUIS,ZM_u,-23.682908643203618,-46.74067769946106
JARDIM SAO LUIS,ZM_u,-23.654430122987524,-46.75332756464337
JARDIM SAO LUIS,ZM_u,-23.645237416049994,-46.748740059156745
PONTE RASA,ZEIS_1,-23.507766780455274,-46.48593501130898
PONTE RASA,ZM_u,-23.523941685483333,-46.483377377418506
LIBERDADE,ZEIS_3,-23.558985155348697,-46.62649575549511
LIBERDADE,ZM_u,-23.565241942451202,-46.633877925677616
LIBERDADE,ZM_u,-23.56623696367212,-46.628360988685316
VILA PRUDENTE,ZEIS_1,-23.593822866732935,-46.5824067135141
VILA PRUDENTE,ZEIS_3,-23.59917535363977,-46.5783863645241
VILA PRUDENTE,ZM_u,-23.6008081062961,-46.55977614562558
VILA PRUDENTE,ZM_u,-23.597322292660447,-46.57236891041177
CACHOEIRINHA,ZEIS_1,-23.480501016693406,-46.66572269173613
CACHOEIRINHA,ZEIS_1,-23.463451764707813,-46.654284415742346
CACHOEIRINHA,ZEIS_1,-23.462801471836677,-46.66361539807925
CACHOEIRINHA,ZEIS_1,-23.460092744355418,-46.66358144640182
CACHOEIRINHA,ZEIS_1,-23.454706570188907,-46.66057751265399
CACHOEIRINHA,ZER_a,-23.441102463117858,-46.667981402439906
CACHOEIRINHA,ZM_u,-23.470000793355826,-46.658799555707354
SAO LUCAS,ZEIS_1,-23.611622568298465,-46.53864733195961
SAO LUCAS,ZEIS_2,-23.60813803657278,-46.539708667057745
SAO LUCAS,ZM_u,-23.585939110491033,-46.53653861167367
